"Provinsi","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Sulawesi Tengah",10.4,11.04,0.309,84.96,67.78,7.28,67.03,77.4,87.86,1.24,9.28
"Sulawesi Barat",23.9,10.71,0.33,93.77,82.23,6.24,76.43,82.52,80.14,0.91,8.56
"Sulawesi Selatan",7.3,7.77,0.36,88.7,77.37,5.34,77.58,93.83,92.23,0.99,9.22
"Papua Tengah",10.1,27.6,0.355,73.01,68.31,1.39,63.49,41.44,81.53,0.24,6.17
"Papua Barat",9.3,21.09,0.385,80.31,62.43,3.66,57.42,79,82.38,2.16,9.87
"Gorontalo",5.4,13.87,0.413,92.3,79.35,7.71,55.11,82.99,96.13,1.52,8.64
"Riau",2.5,6.36,0.306,75.7,65.33,4.82,71.51,86.32,92.24,0.44,9.69
"Papua Selatan",12.7,19.35,0.424,93.13,88.37,4.37,65.71,60.85,71.9,7.52,8.99
"DI Yogyakarta",7.7,10.4,0.428,90.18,84.25,4.32,80.42,96.71,96.91,0.64,10.23
"Sumatera Barat",8.1,5.42,0.287,81.77,69.76,4.8,76.44,72.82,86.85,1.14,9.72
"DKI Jakarta",1.6,4.14,0.431,95.5,93.92,3.06,76.9,94.01,99.96,0.72,11.49
"Maluku",5.4,15.78,0.291,69.1,50.13,3.73,61.61,80.51,93.32,0.99,10.44
"Bengkulu",3.9,12.52,0.343,79.52,66.01,6.35,73.94,83.01,72.1,1.12,9.4
"Lampung",2.8,10.62,0.301,74.97,64.12,5.19,76.4,85.44,84.51,0.73,8.8
"Papua",8.7,18.09,0.405,89.2,72.08,3.02,44.64,80.57,85.84,0.68,10.7
"Kep. Riau",3.1,4.78,0.357,87.57,82.66,4.61,63.58,91.23,94.71,0.76,10.65
"Nusa Tenggara Barat",12.7,11.91,0.364,73.32,57.2,8.24,83.07,86.8,96.13,0.15,8.5
"Jambi",2.7,7.26,0.315,62.28,51.76,4.84,74.32,83.97,82.16,0.92,9.26
"Bali",3.5,3.8,0.348,89.41,85.3,2.04,69.42,96.83,98.32,0.45,9.87
"Jawa Timur",5.8,9.56,0.373,74.43,65.69,5.05,73.59,85.56,96.93,0.62,8.69
"Papua Barat Daya",7.8,16.95,0.347,87,73.42,4.08,69.44,77.84,81.68,3.69,10.48
"Sumatera Utara",3,7.19,0.306,72.9,58.13,4.62,66.42,85.73,92.94,0.62,10.18
"Sulawesi Tenggara",10.3,10.63,0.365,87.38,71.48,6.38,66.42,90.62,95.31,0.62,9.74
"Nusa Tenggara Timur",14.8,19.02,0.316,82.79,61.35,7.06,79.53,77.66,88.55,0.88,8.48
"Kalimantan Selatan",8.2,4.02,0.298,76.47,67.92,6.27,66.01,83.7,77.34,0.55,9.02
"Aceh",6.2,12.64,0.294,99.17,94.95,5.24,67.81,81.1,90.08,0.6,9.95
"Kalimantan Tengah",11.1,5.26,0.304,71.85,61.48,4.97,59.85,78.15,78.71,1.13,9.17
"Papua Pegunungan",4.4,29.66,0.346,97.97,96.84,2.27,82.25,12.61,30.64,3.81,5.1
"Kep. Bangka Belitung",3.3,5.08,0.235,82.55,76.55,4.78,63.72,94.16,82.97,0.88,8.78
"Sumatera Selatan",1.4,10.51,0.331,75.02,66.32,4.92,75.73,82.36,87.23,0.72,8.98
"Banten",2.9,5.7,0.359,78.38,70.06,4.12,75.36,87.93,94.01,0.55,9.55
"Sulawesi Utara",1.7,6.7,0.347,90.36,77.01,5.08,64.95,87.31,94.46,2.3,10.02
"Kalimantan Utara",6.7,5.38,0.259,91.39,83.53,4.11,73.71,85.17,89.42,0.72,9.58
"Kalimantan Timur",9,5.51,0.31,90.04,84.09,3.92,78.38,91.65,89.11,0.42,10.22
"Jawa Tengah",8.6,9.58,0.364,75.95,63.66,5.7,80.27,86.72,95.43,0.64,8.47
"Maluku Utara",8.7,6.03,0.296,75.13,63.43,4.22,69.58,82.32,88.92,2.05,9.7
"Kalimantan Barat",8.7,6.25,0.314,70.84,60.52,5.53,73.34,81.56,82.13,1.49,8.28
"Jawa Barat",4.9,7.08,0.428,75.25,62.7,5.74,80.31,75.1,94.9,1.58,9.24
