"Provinces","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"Aceh",0,0.0918972443111055,0,0,0,-0.106832989083073,-0.136002588420775,-0.127892605827696,0,-0.132307137458538
"Sumatera Utara",0,0.091897243928716,0,0,0,-0.106832990387481,-0.136002588429341,-0.127892605836262,0,-0.132307137467103
"Sumatera Barat",0,0.0918972439352281,0,0,0,-0.106832990190731,-0.136002588426052,-0.127892605832973,0,-0.132307137463809
"Riau",0,0.0918972438155923,0,0,0,-0.106832990121252,-0.136002588422984,-0.127892605829906,0,-0.132307137460745
"Jambi",0,0.091897244033062,0,0,0,-0.106832990105211,-0.13600258841825,-0.127892605825172,0,-0.132307137456012
"Sumatera Selatan",0,0.0918972437343066,0,0,0,-0.133028676380537,-0.13600258447906,-0.127892601885981,0,-0.132307133516824
"Bengkulu",0,0.0918972441584641,0,0,0,-0.133028677710324,-0.136002588420414,-0.127892605827335,0,-0.132307137458174
"Lampung",0,0.124780036731491,0,0,0.11597517107659,-0.133028677665114,-0.136002588437176,-0.127892605844098,0,-0.132307137475044
"Kep. Bangka Belitung",0,0.124780036718897,0,0,0.11597517108624,-0.0240796767404543,-0.136002588381702,-0.127892605788624,0,-0.132307137419569
"Kep. Riau",0,0.124780036740563,0,0,0.115975171006973,-0.024079676796457,-0.136002588428877,-0.127892605835799,0,-0.13230713746675
"DKI Jakarta",0,0.0440398862161375,0,0,0.115975170894005,-0.133028677662789,-0.136002588417165,-0.127892605824087,0,-0.132307137455034
"Jawa Barat",0,0.0440398876055176,0,0,0.115975170571213,-0.133028679096575,-0.136002591052321,-0.127892608458968,0,-0.132307140089997
"Jawa Tengah",0,0.0440398859376479,0,0,0.115975170988112,0,-0.115716638029363,-0.118121982048779,0,-0.116816091358711
"DI Yogyakarta",0,0.0440398862017565,0,0,0.115975171045351,0,-0.115716637791836,-0.118121981811252,0,-0.1168160911208
"Jawa Timur",0,0.0440398861974668,0,0,0.115975171050398,0,-0.115716636600284,-0.1181219806197,0,-0.116816089929249
"Banten",0,0.0440398860732156,0,0,0.115975170727609,-0.133028677738505,-0.136002589844769,-0.127892607251691,0,-0.132307138882635
"Bali",0,0.0440398861161594,0,0,0.115975170964183,0,-0.11571663771843,-0.118121981737846,0,-0.116816091047395
"Nusa Tenggara Barat",0,0.0252890141261796,0,0,0.117788291949344,0,-0.115716638272701,-0.118121982292117,0,-0.116816091601667
"Nusa Tenggara Timur",0,0,0,0,0.209760698552071,0,-0.115716637910686,-0.118121981930102,0,-0.116816091238501
"Kalimantan Barat",0,0.124780036637682,0,0,0.11597517026102,-0.0240796771651686,-0.136002590591384,-0.12789260799803,0,-0.132307139629064
"Kalimantan Tengah",0,0.0689088742484952,0,0,0,-0.0240796768080507,-0.13600258791622,-0.127892605323142,0,-0.132307136954208
"Kalimantan Selatan",0,0.06890887566509,0,0,0,-0.0240796769015391,-0.136002588537206,-0.127892605944127,0,-0.132307137574965
"Kalimantan Timur",0,0.068908874159584,0,0,0,-0.024079676905892,-0.136002586541745,-0.127892603948667,0,-0.132307135579401
"Kalimantan Utara",0,0.0689088747047158,0,0,0,-0.0240796767107146,-0.136002588899826,-0.127892606306748,0,-0.132307137937481
"Sulawesi Utara",0,0,-0.102951472051407,-0.100922998994925,0.209760698741945,0,-0.115716637923928,-0.118121981943344,0,-0.116816091253273
"Sulawesi Tengah",0,0,0,0,0.209760698677218,0,-0.115716637792868,-0.118121981812284,0,-0.116816091121833
"Sulawesi Selatan",0,0,0,0,0.209760698601604,0,-0.115716637788968,-0.118121981808383,0,-0.116816091117933
"Sulawesi Tenggara",0,0,0,0,0.209760698773449,0,-0.115716637898846,-0.118121981918262,0,-0.11681609122781
"Gorontalo",0,0,-0.0726351998116794,-0.0726333131472764,0.209760698550061,0,-0.115716637793789,-0.118121981813204,0,-0.116816091122755
"Sulawesi Barat",0,0,0,0,0.209760698777865,0,-0.115716637810167,-0.118121981829583,0,-0.11681609113913
"Maluku",0,0,-0.102951471948992,-0.100922998892595,0.20976069894975,0,-0.115716637797705,-0.118121981817121,0,-0.116816091126668
"Maluku Utara",0,0,-0.102951471705755,-0.100922998649294,0.209760698626438,0,-0.115716638190413,-0.118121982210381,0,-0.11681609152014
"Papua Barat",0.0216422189988447,0.227493199292796,-0.0578624490092766,-0.0532729694500136,0,0,0,0,0.0257154927951905,0
"Papua Barat Daya",0.0216422189157661,0.22749319934569,-0.0578624486350213,-0.053272969075758,0,0,0,0,0.0257154927415093,0
"Papua",0.0216422189989202,0.227493199303892,-0.057862448991425,-0.0532729694321621,0,0,0,0,0.0257154927948505,0
"Papua Selatan",0.02164221899883,0.2274931993541,-0.0578624488906069,-0.0532729693313438,0,0,0,0,0.025715492795176,0
"Papua Tengah",0.0216422189983963,0.227493199288651,-0.0578624487506874,-0.053272969191424,0,0,0,0,0.025715492794742,0
"Papua Pegunungan",0.0216422190624985,0.227493199301139,-0.0578624489384522,-0.0532729693791895,0,0,0,0,0.0257154928298625,0
